date,USD/KRW,JPY/KRW,EUR/KRW
2026-07-09,1503.3499755859375,9.249458312988281,1717.22998046875
2026-07-10,1505.9100341796875,9.274889945983887,1720.0799560546875
2026-07-13,1498.47998046875,9.257224082946777,1669.0899658203125
2026-07-14,1497.699951171875,9.220261573791504,1703.8499755859375
2026-07-15,1487.8800048828125,9.17563533782959,1698.0
2026-07-16,1486.199951171875,9.172133445739746,1707.8699951171875
2026-07-17,1478.8499755859375,9.106407165527344,1692.6400146484375
2026-07-20,1487.3900146484375,9.151902198791504,1700.5799560546875
2026-07-21,1475.010009765625,9.0775146484375,1683.3599853515625
2026-07-22,1479.719970703125,9.067488670349121,1687.030029296875
2026-07-23,1475.6300048828125,9.047505378723145,1683.5999755859375
2026-07-24,1474.0400390625,8.997089385986328,1676.489990234375
2026-07-27,1458.010009765625,8.910903930664062,1657.739990234375
2026-07-28,1464.43994140625,8.941601753234863,1665.1600341796875
2026-07-29,1453.1600341796875,8.86792278289795,1654.4300537109375
2026-07-30,1442.280029296875,8.831256866455078,1652.7900390625
